t,cum_regret_linucb_baseline_mean,cum_regret_linucb_baseline_se,cum_regret_alg1_oracle_mean,cum_regret_alg1_oracle_se,cum_regret_fixed_theta_star,cum_regret_fixed_best_bank
226,20.2705253351799,0.0,42.56068808130013,0.0,0.5582627505370719,0.5582627505370719
227,20.28363461089822,0.0,42.74184209784051,0.0,0.5582627505370719,0.5582627505370719
228,20.448305500890722,0.0,43.04451452837288,0.0,0.5582627505370719,0.5582627505370719
229,20.448305500890722,0.0,43.46190736098049,0.0,0.5582627505370719,0.5582627505370719
230,20.48151971061483,0.0,43.72595288197872,0.0,0.594989765425256,0.594989765425256
231,20.59220869268278,0.0,43.81297653195875,0.0,0.6038045179455809,0.6038045179455809
232,20.59831589784058,0.0,43.84023213780357,0.0,0.609911723103378,0.609911723103378
233,20.64785341163015,0.0,43.86372813980432,0.0,0.6432108553365407,0.6432108553365407
234,20.713994328174362,0.0,43.94107142556485,0.0,0.6432108553365407,0.6432108553365407
235,20.73455074162525,0.0,44.24958587917178,0.0,0.6432108553365407,0.6432108553365407
236,20.85213165789021,0.0,44.583351680038135,0.0,0.6455517518630276,0.6455517518630276
237,20.85213165789021,0.0,44.68172483087404,0.0,0.6455517518630276,0.6455517518630276
238,20.87181293857905,0.0,44.79150480794794,0.0,0.6455517518630276,0.6455517518630276
239,20.963720817342484,0.0,44.883412686711374,0.0,0.6455517518630276,0.6455517518630276
240,21.00282336681238,0.0,44.944636111642176,0.0,0.6455517518630276,0.6455517518630276
241,21.276574623844258,0.0,44.9969070528835,0.0,0.6459439883352873,0.6459439883352873
242,21.302772063502726,0.0,45.077453753864724,0.0,0.6491047689261891,0.6491047689261891
243,21.367058408318346,0.0,45.24450760178399,0.0,0.6491047689261891,0.6491047689261891
244,21.382187818114843,0.0,45.64475597455937,0.0,0.6491047689261891,0.6491047689261891
245,21.382187818114843,0.0,45.82923409609054,0.0,0.6491047689261891,0.6491047689261891
246,21.388549245641183,0.0,45.995656635609215,0.0,0.6554661964525281,0.6554661964525281
